mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
FVB,11.38266164,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,22.28088464,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,22.47923401,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,21.10101314,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,8.228145209,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,19.44775558,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,19.7438454,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.92138729,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.03473957,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,17.85035617,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,2.80324501,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,4.114390069,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
